acousticness,speechiness,valence,tempo,duration_ms,release_date,year,month
0.00439,0.128,0.78,171.362,215213,1980-10-17,1980,10
0.18,0.0294,0.635,82.626,246800,1980-01-01,1980,1
0.132,0.0465,0.978,123.48,247160,1980-10-08,1980,10
0.0323,0.0261,0.513,119.571,319133,1980-06-01,1980,6
0.00935,0.1,0.74,198.651,268733,1980-04-26,1980,4
0.0478,0.039,0.467,97.538,263373,1980-06-20,1980,6
0.0121,0.0283,0.955,98.339,234716,1980-01-01,1980,1
0.0659,0.0437,0.537,139.71200000000002,308307,1980-01-10,1980,1
0.00543,0.0589,0.24,130.143,251267,1980-03-31,1980,3
0.126,0.0294,0.542,97.716,237160,1980-11-17,1980,11
0.429,0.0657,0.343,99.806,220840,1980-12-08,1980,12
0.596,0.0272,0.245,80.333,213200,1980-06-27,1980,6
0.00341,0.0415,0.562,103.431,240000,1980-03-31,1980,3
0.102,0.0507,0.96,114.593,375027,1980-04-01,1980,4
0.784,0.0494,0.517,111.386,236013,1980-05-23,1980,5
0.303,0.04,0.173,129.941,214307,1980-07-06,1980,7
0.00787,0.0343,0.723,133.678,266453,1980-01-11,1980,1
0.0619,0.0355,0.4920000000000001,106.173,335800,1980-03-28,1980,3
0.00584,0.0382,0.301,169.61700000000005,286680,1980-10-20,1980,10
0.7979999999999999,0.0608,0.48,156.41299999999995,269520,1980-01-16,1980,1
0.8320000000000001,0.0349,0.419,96.337,114987,1980-01-01,1980,1
0.989,0.0398,0.0359,80.923,470533,1980-01-01,1980,1
0.105,0.0356,0.333,98.64,198000,1980-01-01,1980,1
0.889,0.1689999999999999,0.471,127.266,365267,1980-01-01,1980,1
0.429,0.0299,0.233,132.219,238640,1980-03-24,1980,3
0.0655,0.0579,0.82,105.239,264720,1980-10-08,1980,10
0.086,0.0348,0.5760000000000001,155.327,269667,1980-08-05,1980,8
0.509,0.0298,0.579,108.63,161053,1980-05-01,1980,5
0.0826,0.0632,0.777,132.572,271600,1980-01-01,1980,1
0.8809999999999999,0.0656,0.154,173.42700000000005,132493,1980-04-18,1980,4
0.159,0.0272,0.8290000000000001,108.968,192867,1980-06-01,1980,6
0.747,0.0573,0.968,100.589,252293,1980-12-31,1980,12
0.664,0.0329,0.268,143.582,257307,1980-01-04,1980,1
0.76,0.0287,0.394,101.387,207907,1980-01-04,1980,1
0.295,0.0273,0.409,90.742,202147,1980-11-01,1980,11
0.0449,0.0775,0.8170000000000001,121.752,246227,1980-01-01,1980,1
0.00928,0.0644,0.865,148.502,231667,1980-06-20,1980,6
0.855,0.0317,0.089,81.833,94533,1980-03-28,1980,3
0.505,0.0427,0.868,86.553,314747,1980-09-09,1980,9
0.21,0.0663,0.85,132.476,150858,1980-03-06,1980,3
0.328,0.0315,0.358,136.65200000000002,362947,1980-03-17,1980,3
0.274,0.0865,0.657,119.371,212067,1980-12-01,1980,12
0.0759,0.0552,0.81,151.41299999999995,255427,1980-10-24,1980,10
0.132,0.0576,0.867,125.779,286800,1980-10-08,1980,10
0.00125,0.0511,0.688,157.784,182653,1980-02-15,1980,2
0.117,0.0362,0.1639999999999999,109.428,237800,1980-03-28,1980,3
0.809,0.0361,0.15,138.069,234667,1980-03-26,1980,3
0.029,0.0571,0.547,116.01,239293,1980-05-20,1980,5
0.404,0.0461,0.807,92.959,256827,1980-09-29,1980,9
0.635,0.0844,0.328,97.438,218693,1980-01-01,1980,1
0.315,0.0351,0.429,91.456,247667,1980-01-01,1980,1
0.00631,0.0916,0.7490000000000001,138.015,240133,1980-10-05,1980,10
0.0577,0.0565,0.962,157.847,159707,1980-05-15,1980,5
0.0679,0.1689999999999999,0.532,144.662,174493,1980-12-01,1980,12
0.5820000000000001,0.0338,0.868,94.445,374000,1980-01-01,1980,1
0.0872,0.0298,0.787,131.041,168733,1980-11-01,1980,11
0.0329,0.0426,0.7709999999999999,122.273,279933,1980-11-11,1980,11
0.11,0.0317,0.88,75.46300000000002,190893,1980-09-26,1980,9
0.289,0.0476,0.458,84.927,300240,1980-01-01,1980,1
0.688,0.0287,0.472,105.677,179560,1981-08-01,1981,8
0.000108,0.0677,0.496,97.945,193106,1981-07-11,1981,7
0.0106,0.116,0.185,111.956,237640,1981-01-01,1981,1
0.204,0.0338,0.679,106.623,202867,1981-05-05,1981,5
0.789,0.0584,0.0922,77.471,171947,1981-11-04,1981,11
0.00276,0.0761,0.0349,145.95,220027,1981-01-01,1981,1
0.765,0.0295,0.354,82.553,215400,1981-01-01,1981,1
0.105,0.0887,0.6729999999999999,147.761,283413,1981-11-02,1981,11
0.26,0.0286,0.629,86.447,163200,1981-01-01,1981,1
0.00765,0.0726,0.942,124.228,223987,1981-01-23,1981,1
9.43e-05,0.058,0.478,139.75799999999998,218752,1981-07-11,1981,7
0.222,0.0235,0.348,81.13600000000002,440053,1981-05-15,1981,5
0.0219,0.055,0.615,92.904,321573,1981-01-01,1981,1
0.737,0.0361,0.632,125.855,219333,1981-09-19,1981,9
0.855,0.0548,0.22,182.845,196587,1981-01-01,1981,1
0.00225,0.0402,0.639,112.07,187560,1981-11-18,1981,11
0.0698,0.1369999999999999,0.708,102.408,214733,1981-01-01,1981,1
0.0173,0.0769,0.723,134.621,395280,1981-07-23,1981,7
0.00126,0.0514,0.5329999999999999,160.222,248307,1981-01-13,1981,1
0.454,0.0398,0.933,107.472,336933,1981-10-31,1981,10
0.0414,0.0422,0.785,164.825,210720,1981-01-01,1981,1
0.00745,0.0315,0.961,119.908,273067,1981-04-15,1981,4
0.00788,0.0731,0.26,146.15200000000004,463000,1981-10-29,1981,10
0.2,0.0294,0.608,174.105,248360,1981-10-23,1981,10
0.0538,0.0385,0.448,150.83100000000005,204440,1981-11-08,1981,11
0.853,0.0372,0.461,183.895,464262,1981-01-01,1981,1
0.329,0.0252,0.441,172.86,266760,1981-06-01,1981,6
3.26e-05,0.0289,0.575,116.542,263560,1981-04-10,1981,4
0.075,0.0307,0.609,130.691,347507,1981-09-01,1981,9
0.0167,0.0403,0.513,142.912,201893,1981-07-20,1981,7
0.163,0.0487,0.898,120.765,342440,1981-09-24,1981,9
0.985,0.0767,0.0361,124.718,396160,1981-01-01,1981,1
0.000512,0.0464,0.6559999999999999,119.231,236226,1981-10-08,1981,10
0.0181,0.0397,0.529,153.196,210560,1981-05-05,1981,5
0.000828,0.0764,0.516,153.35,128160,1981-01-01,1981,1
0.7979999999999999,0.0368,0.5,107.643,343453,1981-12-01,1981,12
0.0125,0.0963,0.306,127.674,202813,1981-11-08,1981,11
0.6,0.0365,0.076,145.44799999999995,1242507,1981-04-27,1981,4
0.0154,0.0427,0.813,146.122,195280,1981-11-13,1981,11
0.483,0.0398,0.411,113.117,186973,1981-01-01,1981,1
0.31,0.0286,0.342,85.929,297347,1981-01-01,1981,1
0.00082,0.089,0.7340000000000001,112.159,356773,1981-01-01,1981,1
0.914,0.0363,0.312,98.253,153107,1981-01-01,1981,1
0.604,0.0258,0.473,99.67,451173,1981-08-26,1981,8
0.375,0.0302,0.923,106.466,215067,1981-01-01,1981,1
